list_number,list_description_en,list_description_uk,code,description_en,description_uk,notes
17,Contributor role code,Код ролі учасника,A33,Appendix by,,Author of appendix
17,Contributor role code,Код ролі учасника,A34,Index by,,Compiler of index
17,Contributor role code,Код ролі учасника,A35,Drawings by,,
17,Contributor role code,Код ролі учасника,A36,Cover design or artwork by,,Use also for the cover artist of a graphic novel or comic book if named separately
17,Contributor role code,Код ролі учасника,A37,Preliminary work by,,Responsible for preliminary work on which the work is based
17,Contributor role code,Код ролі учасника,A38,Original author,,Author of the first edition (usually of a standard work) who is not an author of the current edition
17,Contributor role code,Код ролі учасника,A39,Maps by,,Maps drawn or otherwise contributed by
17,Contributor role code,Код ролі учасника,A40,Inked or colored by,,"Use for secondary creators when separate persons are named as having respectively drawn and inked/colored/finished artwork, eg for a graphic novel or comic book. Use with A12 for ‘drawn by’. Use A40 for ‘finished by’, but prefer more specific codes A46 to A48 instead of A40 unless the more specific secondary roles are inappropriate, unclear or unavailable"
17,Contributor role code,Код ролі учасника,A41,Paper engineering by,,"Designer or paper engineer of die-cuts, press-outs or of pop-ups in a pop-up book, who may be different from the illustrator"
17,Contributor role code,Код ролі учасника,A42,Continued by,,Use where a standard work is being continued by somebody other than the original author
17,Contributor role code,Код ролі учасника,A43,Interviewer,Інтерв'юер,
17,Contributor role code,Код ролі учасника,A44,Interviewee,Інтерв'юйований,
17,Contributor role code,Код ролі учасника,A45,Comic script by,,"Writer of dialogue, captions in a comic book (following an outline by the primary writer)"
17,Contributor role code,Код ролі учасника,A46,Inker,,Renders final comic book line art based on work of the illustrator or penciller (code A12). Preferred to code A40
17,Contributor role code,Код ролі учасника,A47,Colorist,,Provides comic book color art and effects. Preferred to code A40
17,Contributor role code,Код ролі учасника,A48,Letterer,,"Creates comic book text balloons and other text elements (where this is a distinct role from script writer and/or illustrator), or creates calligraphy in non-comic products"
17,Contributor role code,Код ролі учасника,A49,Cover inker,,"Renders final comic book cover line art based on work of the cover designer (code A36), where different from the inker of the interior line art. Only for use in ONIX 3.0 or later"
17,Contributor role code,Код ролі учасника,A50,Cover colorist,,"Provides comic book cover color art and effects, where different from the colorist of the interior art and effects. Only for use in ONIX 3.0 or later"
17,Contributor role code,Код ролі учасника,A51,Research by,Дослідження,Person or organization responsible for performing research on which the work is based. Only for use in ONIX 3.0 or later
17,Contributor role code,Код ролі учасника,A52,Original character design,,(for comic books). Only for use in ONIX 3.0 or later
17,Contributor role code,Код ролі учасника,A99,Other primary creator,,Other type of primary creator not specified above
17,Contributor role code,Код ролі учасника,B01,Edited by,Редактор,
17,Contributor role code,Код ролі учасника,B02,Revised by,Переглянуто,
17,Contributor role code,Код ролі учасника,B03,Retold by,Переказ,
17,Contributor role code,Код ролі учасника,B04,Abridged by,Скорочення,
17,Contributor role code,Код ролі учасника,B05,Adapted by,Адаптація,See also B22 (Dramatized by)
17,Contributor role code,Код ролі учасника,B06,Translated by,Переклад,
